text,subject,relation,object
A breakthrough in AI-driven sensors was reported by Apple.,AI-driven,reported,Apple
"Barack Obama met leaders from Congress in Washington, USA to discuss policy announcement.",Barack Obama,related_to,USA
"Wangari Maathai led trials of pest control trial in Iowa, USA.",Wangari Maathai,related_to,USA
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Harvard University,reported,Cape Town
A breakthrough in robotics was reported by SpaceX.,was,reported,SpaceX
Wimbledon announced a new final match for 2022-2023.,Wimbledon,announced,a
Albert Einstein published findings on particle discovery at NASA.,Albert Einstein,related_to,NASA
"Researchers at NASA reported a field research in Cambridge, UK.",NASA,reported,Cambridge
"Kamala Harris announced policy changes regarding climate at Washington, USA.",Kamala Harris,announced,Washington
Google released a 5G networks that improves robotics.,Google,released,a
"Ada Lovelace led the launch of a quantum computing in London, UK.",Ada Lovelace,related_to,UK
Grace Hopper announced a new 5G networks at Apple.,Grace Hopper,announced,Apple
Wimbledon announced a new tournament for 2022-2023.,Wimbledon,announced,a
Indra Nooyi became CEO of Siemens following the IPO.,Indra Nooyi,related_to,CEO
Tim Cook became CEO of Samsung following the IPO.,Tim Cook,related_to,CEO
CERN announced a particle discovery that impacts genetics.,CERN,announced,a
"Researchers at NASA reported a particle discovery in Cape Town, South Africa.",NASA,reported,Cape Town
Jane Goodall published findings on field research at CERN.,Jane Goodall,related_to,CERN
"ICAR introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",ICAR,introduced,Nairobi
Sundar Pichai became CEO of Reliance Industries following the merger.,Sundar Pichai,related_to,Reliance Industries
"A policy announcement was passed by European Union impacting Washington, USA.",European Union,related_to,USA
"ICAR introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",ICAR,introduced,Nairobi
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Lima, Peru.",International Rice Research Institute,introduced,Lima
"Satya Nadella led the launch of a AI-driven sensors in Shenzhen, China.",Satya Nadella,related_to,AI
NBA announced a new season opener for 2022-2023.,NBA,announced,a
Tim Berners-Lee announced a new 5G networks at Google.,Tim Berners-Lee,announced,Google
Rosalind Franklin published findings on climate study at Max Planck Institute.,Rosalind Franklin,related_to,Institute
A study on climate study led by Rosalind Franklin was published on 1980-12-14.,1980,related_to,Rosalind Franklin
"Kamala Harris met leaders from European Union in Washington, USA to discuss summit.",Kamala Harris,related_to,European Union
Grace Hopper announced a new AI-driven sensors at Intel.,Grace Hopper,announced,AI-driven
Indra Nooyi became CEO of Samsung following the merger.,Indra Nooyi,related_to,CEO
"Angela Merkel met leaders from European Union in Washington, USA to discuss policy announcement.",Angela Merkel,related_to,European Union
FC Barcelona announced a new final match for 2022-2023.,FC Barcelona,announced,a
Mary Barra became CEO of Samsung following the acquisition.,Mary Barra,related_to,CEO
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Barack Obama,announced,Geneva
"Marissa Mayer led the launch of a AI-driven sensors in London, UK.",Marissa Mayer,related_to,AI
Marie Curie published findings on particle discovery at CERN.,Marie Curie,related_to,CERN
Harvard University announced a gene sequencing that impacts physics.,Harvard University,announced,a
"The Treaty signing took place in Berlin, Germany and involved Mughal Empire.",The Treaty,related_to,Mughal Empire
Wimbledon announced a new season opener for 2022-2023.,Wimbledon,announced,a
Reliance Industries acquired Goldman Sachs in a deal valued at $450M.,Reliance Industries,related_to,Goldman Sachs
"Researchers at Harvard University reported a climate study in Cape Town, South Africa.",Harvard University,reported,Cape Town
Jane Goodall published findings on field research at NASA.,Jane Goodall,related_to,NASA
SpaceX released a edge computing that improves quantum computing.,SpaceX,released,a
Grace Hopper announced a new 5G networks at Apple.,Grace Hopper,announced,Apple
"Narendra Modi announced policy changes regarding climate at Geneva, Switzerland.",Narendra Modi,announced,Geneva
A breakthrough in 5G networks was reported by SpaceX.,was,reported,SpaceX
CERN announced a gene sequencing that impacts genetics.,CERN,announced,a
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Angela Merkel,announced,Geneva
"Marissa Mayer led the launch of a quantum computing in Silicon Valley, USA.",Marissa Mayer,related_to,Silicon Valley
"Narendra Modi announced policy changes regarding healthcare at New Delhi, India.",Narendra Modi,announced,New Delhi
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Punjab, India.",AgriTech Ltd,introduced,Punjab
NASA announced a field research that impacts biology.,NASA,announced,a
"The final match in London, UK featured M.S. Dhoni and NBA.",UK,related_to,NBA
"A bill passage was passed by United Nations impacting Washington, USA.",United Nations,related_to,USA
Marissa Mayer announced a new robotics at Apple.,Marissa Mayer,announced,Apple
"Goldman Sachs opened a new office in New York, USA to expand consumer electronics.",New York,related_to,Goldman Sachs
Jamie Dimon became CEO of Tesla following the acquisition.,Jamie Dimon,related_to,CEO
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Lima, Peru.",AgriTech Ltd,introduced,Lima
"Rachel Carson led trials of pest control trial in Iowa, USA.",Rachel Carson,related_to,USA
Wimbledon announced a new final match for 2023-2024.,Wimbledon,announced,a
"A famous opera by Pablo Picasso is housed in Sydney Opera House in Madrid, Spain.",Pablo Picasso,related_to,Sydney Opera House
"The season opener in London, UK featured M.S. Dhoni and FC Barcelona.",UK,related_to,FC
CERN announced a climate study that impacts genetics.,CERN,announced,a
Isaac Newton published findings on field research at CERN.,Isaac Newton,related_to,CERN
Max Planck Institute announced a field research that impacts climatology.,Max Planck Institute,announced,a
A breakthrough in edge computing was reported by OpenAI.,was,reported,OpenAI
Indra Nooyi became CEO of Siemens following the restructuring.,Indra Nooyi,related_to,CEO
"Researchers at Harvard University reported a field research in Cambridge, UK.",Harvard University,reported,Cambridge
"Angela Merkel announced policy changes regarding climate at Washington, USA.",Angela Merkel,announced,Washington
NBA announced a new season opener for 2024-2025.,NBA,announced,a
NBA announced a new season opener for 2023-2024.,NBA,announced,a
"Barack Obama met leaders from United Nations in New Delhi, India to discuss policy announcement.",Barack Obama,related_to,United Nations
"Researchers at CERN reported a climate study in Cape Town, South Africa.",CERN,reported,Cape Town
"Angela Merkel announced policy changes regarding education at Geneva, Switzerland.",Angela Merkel,announced,Geneva
"Narendra Modi announced policy changes regarding climate at New Delhi, India.",Narendra Modi,announced,New Delhi
Wimbledon announced a new season opener for 2022-2023.,Wimbledon,announced,a
A breakthrough in 5G networks was reported by Intel.,was,reported,Intel
Elon Musk announced a new edge computing at IBM.,Elon Musk,announced,IBM
"FAO introduced a pest control trial to improve yields in Nairobi, Kenya.",FAO,introduced,Nairobi
Jamie Dimon became CEO of Tesla following the IPO.,Jamie Dimon,related_to,CEO
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Harvard University,reported,Cape Town
"Kamala Harris announced policy changes regarding healthcare at New Delhi, India.",Kamala Harris,announced,New Delhi
"A summit was passed by United Nations impacting Washington, USA.",United Nations,related_to,USA
"FAO introduced a yield improvement study to improve yields in Iowa, USA.",FAO,introduced,Iowa
NBA announced a new final match for 2024-2025.,NBA,announced,a
"Narendra Modi announced policy changes regarding trade at Washington, USA.",Narendra Modi,announced,Washington
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Sundar Pichai,related_to,Reliance Industries
"The season opener in Madrid, Spain featured Serena Williams and NBA.",Serena Williams,related_to,NBA
A breakthrough in AI-driven sensors was reported by Apple.,AI-driven,reported,Apple
NASA announced a climate study that impacts biology.,NASA,announced,a
"Lionel Messi led NBA to victory at the final match in London, UK.",Lionel Messi,related_to,NBA
"Researchers at Max Planck Institute reported a particle discovery in Geneva, Switzerland.",Max Planck Institute,reported,Geneva
"Narendra Modi announced policy changes regarding education at Washington, USA.",Narendra Modi,announced,Washington
"Marissa Mayer led the launch of a AI-driven sensors in Shenzhen, China.",Marissa Mayer,related_to,AI
Rosalind Franklin published findings on particle discovery at Harvard University.,Rosalind Franklin,related_to,University
"A famous installation by Ludwig van Beethoven is housed in Tate Modern in New York, USA.",Tate Modern,related_to,New York
"The final match in London, UK featured M.S. Dhoni and Team India.",Team India,related_to,UK
Team India announced a new season opener for 2022-2023.,Team India,announced,a
"Researchers at Harvard University reported a field research in Cambridge, UK.",Harvard University,reported,Cambridge
"Elon Musk led the launch of a quantum computing in London, UK.",Elon Musk,related_to,UK
"Researchers at NASA reported a particle discovery in Cambridge, UK.",NASA,reported,Cambridge
"Sundar Pichai led the launch of a 5G networks in Silicon Valley, USA.",Sundar Pichai,related_to,Silicon Valley
Sundar Pichai became CEO of Reliance Industries following the IPO.,Sundar Pichai,related_to,Reliance Industries
A breakthrough in quantum computing was reported by IBM.,was,reported,IBM
Harvard University announced a climate study that impacts biology.,Harvard University,announced,a
"Researchers at Harvard University reported a gene sequencing in Cape Town, South Africa.",Harvard University,reported,Cape Town
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Harvard University,reported,Cape Town
"Barack Obama met leaders from Congress in Washington, USA to discuss bill passage.",Barack Obama,related_to,USA
Mary Barra became CEO of Siemens following the merger.,Mary Barra,related_to,CEO
Team India announced a new season opener for 2023-2024.,Team India,announced,a
"Barack Obama announced policy changes regarding climate at Washington, USA.",Barack Obama,announced,Washington
Mary Barra became CEO of Reliance Industries following the acquisition.,Mary Barra,related_to,Reliance Industries
"Researchers at NASA reported a particle discovery in Geneva, Switzerland.",NASA,reported,Geneva
"Researchers at Harvard University reported a particle discovery in Geneva, Switzerland.",Harvard University,reported,Geneva
"Tesla opened a new office in New York, USA to expand manufacturing.",New York,related_to,USA
Pablo Picasso exhibited a new painting at Tate Modern.,Pablo Picasso,related_to,Tate Modern
Pablo Picasso exhibited a new painting at Metropolitan Opera.,Pablo Picasso,related_to,Metropolitan Opera
Marissa Mayer announced a new quantum computing at Intel.,Marissa Mayer,announced,Intel
Jamie Dimon became CEO of Siemens following the acquisition.,Jamie Dimon,related_to,CEO
Max Planck Institute announced a climate study that impacts biology.,Max Planck Institute,announced,a
"Louvre Museum announced restoration of the painting in Paris, France.",Louvre Museum,announced,Paris
Isaac Newton published findings on field research at NASA.,Isaac Newton,related_to,NASA
"Lionel Messi led Wimbledon to victory at the final match in London, UK.",Lionel Messi,related_to,UK
Wimbledon announced a new season opener for 2023-2024.,Wimbledon,announced,a
IBM released a AI-driven sensors that improves AI-driven sensors.,IBM,released,AI-driven
"Louvre Museum announced restoration of the symphony in Paris, France.",Louvre Museum,announced,Paris
A study on particle discovery led by Marie Curie was published on 1912-08-20.,1912,related_to,Marie Curie
Albert Einstein published findings on particle discovery at CERN.,Albert Einstein,related_to,CERN
"Narendra Modi met leaders from Parliament in Washington, USA to discuss policy announcement.",Narendra Modi,related_to,USA
"Grace Hopper led the launch of a robotics in Silicon Valley, USA.",Grace Hopper,related_to,Silicon Valley
Albert Einstein published findings on particle discovery at CERN.,Albert Einstein,related_to,CERN
Marie Curie published findings on field research at Harvard University.,Marie Curie,related_to,University
"ICAR introduced a pest control trial to improve yields in Nairobi, Kenya.",ICAR,introduced,Nairobi
"Cristiano Ronaldo led NBA to victory at the final match in Melbourne, Australia.",Cristiano Ronaldo,related_to,NBA
"The tournament in Madrid, Spain featured Serena Williams and NBA.",Serena Williams,related_to,NBA
"Royal Academy announced restoration of the symphony in Vienna, Austria.",Royal Academy,announced,Vienna
"Reliance Industries opened a new office in Seoul, South Korea to expand financial services.",Reliance Industries,related_to,South Korea
Elon Musk announced a new robotics at Intel.,Elon Musk,announced,Intel
"Cristiano Ronaldo led NBA to victory at the final match in London, UK.",Cristiano Ronaldo,related_to,NBA
"The tournament in Madrid, Spain featured Cristiano Ronaldo and NBA.",Cristiano Ronaldo,related_to,NBA
"A summit was passed by United Nations impacting Washington, USA.",United Nations,related_to,USA
"A famous exhibition by Frida Kahlo is housed in Metropolitan Opera in New York, USA.",Frida Kahlo,related_to,Metropolitan Opera
A breakthrough in edge computing was reported by OpenAI.,was,reported,OpenAI
Jamie Dimon became CEO of Reliance Industries following the IPO.,Jamie Dimon,related_to,Reliance Industries
A breakthrough in robotics was reported by SpaceX.,was,reported,SpaceX
"Narendra Modi announced policy changes regarding healthcare at New Delhi, India.",Narendra Modi,announced,New Delhi
"The tournament in Madrid, Spain featured Serena Williams and Team India.",Serena Williams,related_to,Team India
A breakthrough in robotics was reported by Microsoft.,was,reported,Microsoft
Team India announced a new tournament for 2022-2023.,Team India,announced,a
"Barack Obama met leaders from European Union in Geneva, Switzerland to discuss policy announcement.",Barack Obama,related_to,European Union
"Cristiano Ronaldo led Team India to victory at the tournament in Madrid, Spain.",Cristiano Ronaldo,related_to,Team India
NBA announced a new final match for 2022-2023.,NBA,announced,a
Marie Curie published findings on climate study at Harvard University.,Marie Curie,related_to,University
A study on gene sequencing led by Albert Einstein was published on 1960-05-22.,1960,related_to,Albert Einstein
"Kamala Harris announced policy changes regarding education at Washington, USA.",Kamala Harris,announced,Washington
"The final match in Melbourne, Australia featured Serena Williams and Team India.",Serena Williams,related_to,Team India
IBM released a AI-driven sensors that improves quantum computing.,IBM,released,AI-driven
"Metropolitan Opera announced restoration of the symphony in New York, USA.",Metropolitan Opera,announced,New York
Sundar Pichai became CEO of Goldman Sachs following the acquisition.,Sundar Pichai,related_to,Goldman Sachs
"Serena Williams led Team India to victory at the tournament in Madrid, Spain.",Serena Williams,related_to,Team India
"The Treaty signing took place in Constantinople, Turkey and involved Mughal Empire.",The Treaty,related_to,Mughal Empire
OpenAI released a 5G networks that improves robotics.,OpenAI,released,a
"Farmers in Iowa, USA adopted pest control trial developed by ICAR.",USA,related_to,ICAR
Marie Curie published findings on gene sequencing at CERN.,Marie Curie,related_to,CERN
Harvard University announced a climate study that impacts climatology.,Harvard University,announced,a
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Punjab, India.",International Rice Research Institute,introduced,Punjab
"Leonardo da Vinci premiered a exhibition at New York, USA.",New York,related_to,USA
NBA announced a new final match for 2022-2023.,NBA,announced,a
Marie Curie published findings on particle discovery at NASA.,Marie Curie,related_to,NASA
A breakthrough in edge computing was reported by Apple.,was,reported,Apple
Indra Nooyi became CEO of Reliance Industries following the restructuring.,Indra Nooyi,related_to,Reliance Industries
"Angela Merkel met leaders from United Nations in Washington, USA to discuss summit.",Angela Merkel,related_to,United Nations
"Serena Williams led Team India to victory at the final match in Melbourne, Australia.",Serena Williams,related_to,Team India
Albert Einstein published findings on field research at CERN.,Albert Einstein,related_to,CERN
"The final match in London, UK featured Lionel Messi and Team India.",Lionel Messi,related_to,Team India
"The tournament in London, UK featured M.S. Dhoni and FC Barcelona.",UK,related_to,FC
"Narendra Modi announced policy changes regarding climate at New Delhi, India.",Narendra Modi,announced,New Delhi
"FAO introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",FAO,introduced,Nairobi
A study on field research led by Marie Curie was published on 1902-12-07.,1902,related_to,Marie Curie
"Barack Obama announced policy changes regarding trade at Geneva, Switzerland.",Barack Obama,announced,Geneva
"Researchers at Harvard University reported a particle discovery in Geneva, Switzerland.",Harvard University,reported,Geneva
Google released a AI-driven sensors that improves edge computing.,Google,released,AI-driven
Jane Goodall published findings on gene sequencing at Max Planck Institute.,Jane Goodall,related_to,Institute
"A famous installation by Leonardo da Vinci is housed in Tate Modern in New York, USA.",Tate Modern,related_to,New York
"Farmers in Iowa, USA adopted pest control trial developed by CIMMYT.",USA,related_to,CIMMYT
"A famous exhibition by Frida Kahlo is housed in Tate Modern in Vienna, Austria.",Frida Kahlo,related_to,Tate Modern
"The tournament in Melbourne, Australia featured Lionel Messi and Team India.",Lionel Messi,related_to,Team India
"Louvre Museum announced restoration of the opera in Vienna, Austria.",Louvre Museum,announced,Vienna
"Royal Academy announced restoration of the painting in Madrid, Spain.",Royal Academy,announced,Madrid
A breakthrough in robotics was reported by Microsoft.,was,reported,Microsoft
Jane Goodall published findings on particle discovery at NASA.,Jane Goodall,related_to,NASA
Wimbledon announced a new season opener for 2023-2024.,Wimbledon,announced,a
"Reliance Industries opened a new office in New York, USA to expand consumer electronics.",Reliance Industries,related_to,New York
"A policy announcement was passed by United Nations impacting Washington, USA.",United Nations,related_to,USA
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Max Planck Institute,reported,Geneva
Sundar Pichai became CEO of Tesla following the restructuring.,Sundar Pichai,related_to,CEO
OpenAI released a edge computing that improves AI-driven sensors.,OpenAI,released,AI-driven
A breakthrough in edge computing was reported by OpenAI.,was,reported,OpenAI
Max Planck Institute announced a field research that impacts genetics.,Max Planck Institute,announced,a
"Lionel Messi led NBA to victory at the tournament in London, UK.",Lionel Messi,related_to,NBA
Wimbledon announced a new final match for 2022-2023.,Wimbledon,announced,a
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Punjab, India.",AgriTech Ltd,introduced,Punjab
A breakthrough in 5G networks was reported by Google.,was,reported,Google
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",International Rice Research Institute,introduced,Punjab
Apple released a robotics that improves AI-driven sensors.,Apple,released,AI-driven
"M.S. Dhoni led NBA to victory at the final match in London, UK.",NBA,related_to,UK
"Ludwig van Beethoven premiered a exhibition at New York, USA.",New York,related_to,USA
A breakthrough in 5G networks was reported by SpaceX.,was,reported,SpaceX
"Kamala Harris met leaders from United Nations in Geneva, Switzerland to discuss summit.",Kamala Harris,related_to,United Nations
Pablo Picasso exhibited a new exhibition at Royal Academy.,Pablo Picasso,related_to,Royal Academy
Wimbledon announced a new season opener for 2023-2024.,Wimbledon,announced,a
Max Planck Institute announced a gene sequencing that impacts physics.,Max Planck Institute,announced,a
"Louvre Museum announced restoration of the symphony in New York, USA.",Louvre Museum,announced,New York
Marie Curie published findings on particle discovery at Harvard University.,Marie Curie,related_to,University
"Kamala Harris met leaders from Congress in New Delhi, India to discuss bill passage.",Kamala Harris,related_to,New Delhi
"A famous exhibition by Vincent van Gogh is housed in Louvre Museum in New York, USA.",Louvre Museum,related_to,New York
"The Treaty signing took place in Berlin, Germany and involved British Empire.",The Treaty,related_to,British Empire
Pablo Picasso exhibited a new opera at Louvre Museum.,Pablo Picasso,related_to,Louvre Museum
NBA announced a new season opener for 2022-2023.,NBA,announced,a
FC Barcelona announced a new tournament for 2024-2025.,FC Barcelona,announced,a
Frida Kahlo exhibited a new exhibition at Louvre Museum.,Frida Kahlo,related_to,Louvre Museum
Team India announced a new tournament for 2023-2024.,Team India,announced,a
Marie Curie published findings on climate study at CERN.,Marie Curie,related_to,CERN
"Lionel Messi led NBA to victory at the final match in Madrid, Spain.",Lionel Messi,related_to,NBA
"Researchers at Max Planck Institute reported a particle discovery in Cape Town, South Africa.",Max Planck Institute,reported,Cape Town
Harvard University announced a particle discovery that impacts physics.,Harvard University,announced,a
SpaceX released a quantum computing that improves AI-driven sensors.,SpaceX,released,AI-driven
"Barack Obama announced policy changes regarding education at Washington, USA.",Barack Obama,announced,Washington
A study on field research led by Jane Goodall was published on 2006-12-09.,2006,related_to,Jane Goodall
"Researchers at NASA reported a field research in Cambridge, UK.",NASA,reported,Cambridge
Indra Nooyi became CEO of Samsung following the acquisition.,Indra Nooyi,related_to,CEO
"Kamala Harris met leaders from Parliament in New Delhi, India to discuss policy announcement.",Kamala Harris,related_to,New Delhi
Goldman Sachs acquired Reliance Industries in a deal valued at $450M.,Reliance Industries,related_to,Goldman Sachs
